Borough,year,month,Refuse,Paper,MGP
Manhattan,2021,6,2877.2,551.6,378.8
Manhattan,2021,3,2721.4,501.2,391.6
Brooklyn,2021,6,3513.4,328.0,279.6
Brooklyn,2021,5,3032.3,300.4,263.3
Manhattan,2020,12,2322.7,276.6,235.9
Manhattan,2020,5,2158.3,218.7,219.7
Bronx,2021,2,3300.6,294.4,429.7
Manhattan,2020,12,1252.2,401.5,268.2
Manhattan,2021,4,1135.6,405.8,267.9
Manhattan,2021,11,378.2,103.4,60.6
Brooklyn,2020,6,3813.0,373.0,501.8
Brooklyn,2021,4,3116.9,295.8,390.4
Brooklyn,2021,2,2743.8,280.1,354.2
Brooklyn,2021,7,3787.1,349.9,435.0
Brooklyn,2021,5,3453.8,292.0,403.1
Bronx,2021,8,2301.8,149.0,218.2
Bronx,2021,1,2248.6,205.6,220.9
Bronx,2021,2,2064.4,164.3,192.2
Bronx,2021,4,2147.9,189.6,204.7
Brooklyn,2020,10,3555.0,456.1,450.2
Brooklyn,2020,1,3132.2,444.3,435.2
Brooklyn,2021,7,3828.6,432.0,412.6
Staten,2020,2,4510.2,632.0,579.9
Staten,2021,3,6151.9,760.8,758.3
Staten,2021,5,6586.2,750.1,784.7
Staten,2021,8,6115.6,695.9,697.6
Brooklyn,2020,7,5762.9,655.5,710.2
Brooklyn,2020,3,4793.8,591.6,550.8
Brooklyn,2021,2,4307.5,504.5,492.7
Brooklyn,2020,8,5515.4,608.3,648.2
Brooklyn,2021,10,5610.4,558.2,520.4
Queens,2020,9,5552.1,647.6,867.9
Queens,2020,3,4562.3,594.1,762.2
Queens,2020,5,5577.8,601.6,1009.0
Queens,2020,8,5638.6,602.9,860.4
Queens,2020,10,5371.9,689.8,856.5
Queens,2021,5,5140.9,581.9,738.2
Brooklyn,2020,1,5060.7,591.8,644.6
Brooklyn,2021,7,6844.4,595.6,739.5
Bronx,2020,1,3664.2,237.0,365.6
Staten,2020,2,4212.7,515.5,572.9
Staten,2021,3,5940.9,640.8,788.3
Staten,2021,10,6063.0,540.4,625.0
Bronx,2020,9,2995.5,310.4,496.1
Bronx,2020,12,2779.9,403.7,474.4
Bronx,2020,3,2277.1,291.5,412.8
Bronx,2021,4,2580.5,327.3,402.8
Bronx,2021,10,3036.7,327.7,390.3
Queens,2020,7,8575.7,628.8,1250.5
Queens,2020,4,6478.1,444.2,958.4
Queens,2021,7,8474.5,602.5,1071.5
Queens,2021,4,6725.5,509.5,893.3
Queens,2021,3,7119.8,544.6,952.0
Queens,2021,11,1596.2,114.2,180.3
Queens,2020,7,4669.5,696.7,764.7
Queens,2020,9,4416.9,675.1,723.6
Queens,2021,1,3895.6,677.0,715.3
Queens,2021,2,3376.2,563.1,591.7
Queens,2021,7,4427.0,667.7,641.5
Queens,2021,8,4166.0,618.7,615.8
Brooklyn,2020,12,4869.0,685.1,602.6
Brooklyn,2020,11,4946.5,554.5,512.7
Brooklyn,2021,1,4402.3,578.3,550.1
Brooklyn,2021,7,4747.8,542.6,507.2
Queens,2020,9,4600.2,428.0,748.1
Queens,2021,7,4564.9,481.9,617.1
Queens,2021,8,4420.7,462.2,572.3
Queens,2021,9,4528.1,465.2,575.7
Brooklyn,2020,1,4358.6,288.2,459.3
Brooklyn,2021,3,5153.2,345.0,511.2
Brooklyn,2021,7,5567.7,308.5,491.5
Brooklyn,2020,1,2081.9,611.8,473.8
Queens,2020,1,4658.7,410.6,540.7
Queens,2020,8,5808.5,427.5,635.4
Queens,2021,8,5233.7,351.4,485.6
Bronx,2020,10,4405.8,444.6,648.6
Bronx,2020,6,4863.3,487.1,797.5
Bronx,2020,2,3081.5,302.5,502.5
Bronx,2020,9,4504.0,434.2,684.9
Bronx,2020,3,3480.0,351.9,562.9
Bronx,2021,4,3846.2,382.3,589.7
Staten,2020,9,4765.5,549.2,724.6
Staten,2021,4,4215.4,507.4,594.7
Staten,2021,7,4960.9,561.4,670.1
Queens,2020,1,6075.7,843.4,788.1
Brooklyn,2020,9,5222.1,491.0,497.3
Brooklyn,2021,1,4636.0,512.2,483.6
Brooklyn,2021,2,4073.5,426.0,375.9
Brooklyn,2020,3,1915.1,190.5,227.6
Brooklyn,2020,12,2218.2,217.5,240.5
Brooklyn,2021,7,2346.8,214.6,251.0
Queens,2020,9,3434.5,475.1,465.3
Queens,2020,1,3990.8,383.7,487.1
Queens,2020,10,4289.6,386.8,653.2
Queens,2021,6,4647.1,379.4,676.0
Queens,2021,7,4554.2,388.8,687.7
Queens,2021,10,4496.2,354.0,565.5
Brooklyn,2020,8,5601.7,606.4,389.4
Brooklyn,2021,1,6263.8,725.9,393.9
Brooklyn,2021,5,6708.4,659.2,385.6
Brooklyn,2021,7,5460.7,579.6,353.2
Queens,2020,6,4817.9,442.3,814.7
Queens,2020,7,4804.9,428.4,773.2
Queens,2020,5,3537.2,285.6,370.7
Queens,2020,12,3341.4,322.1,329.0
Queens,2020,8,3911.9,285.1,362.1
Brooklyn,2020,7,2663.6,502.2,478.1
Bronx,2020,3,2806.9,274.8,359.2
Bronx,2020,1,2821.3,312.8,374.3
Bronx,2021,4,3029.5,308.2,361.0
Queens,2020,6,3693.3,533.5,592.0
Queens,2020,10,3416.8,485.9,496.0
Queens,2020,1,2615.7,497.4,456.6
Queens,2021,2,2216.6,370.1,369.8
Queens,2021,10,3457.3,453.5,422.7
Queens,2021,3,3110.5,469.0,481.4
Queens,2021,11,717.0,102.1,91.6
Queens,2020,4,3384.3,430.1,468.7
Queens,2020,9,4266.4,489.9,468.4
Brooklyn,2020,5,3591.3,489.8,532.6
Brooklyn,2020,2,2818.5,418.0,408.6
Brooklyn,2020,11,3767.8,486.7,471.0
Brooklyn,2021,2,2841.6,418.8,434.0
Brooklyn,2021,7,3853.5,499.7,466.9
Brooklyn,2021,9,3752.8,508.5,471.5
Brooklyn,2021,10,4793.2,313.0,455.9
Queens,2020,5,2924.6,412.3,442.4
Queens,2020,12,2966.4,523.1,467.1
Queens,2020,7,3249.2,465.8,459.0
Queens,2020,4,2609.8,390.7,452.9
Queens,2021,10,3014.1,405.6,375.6
Queens,2021,8,2908.3,387.2,372.1
Bronx,2020,6,2686.7,412.5,487.6
Bronx,2020,7,2663.6,377.2,443.8
Bronx,2021,1,2302.2,350.0,410.6
Bronx,2020,3,2197.2,322.3,399.1
Brooklyn,2020,9,2974.2,382.4,367.0
